model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2014,-0.259,0.138,-1.884,0.060,-0.529,0.010
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2015,-0.086,0.139,-0.621,0.535,-0.358,0.186
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2016,-0.262,0.139,-1.888,0.059,-0.534,0.010
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2017,-0.551,0.144,-3.828,<0.001,-0.833,-0.269
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2018,-0.752,0.151,-4.967,<0.001,-1.049,-0.455
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2019,-0.473,0.160,-2.955,0.003,-0.786,-0.159
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2020,-0.361,0.157,-2.298,0.022,-0.668,-0.053
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2021,-0.467,0.161,-2.896,0.004,-0.783,-0.151
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2022,-0.323,0.155,-2.084,0.037,-0.627,-0.019
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2023,-0.298,0.157,-1.904,0.057,-0.606,0.009
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2024,-3.316,0.143,-23.264,<0.001,-3.595,-3.037
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2025,-2.718,0.147,-18.521,<0.001,-3.006,-2.431
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,factor(release_period)2026,-2.456,0.355,-6.919,<0.001,-3.152,-1.761
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,language_count,-0.015,0.005,-3.209,0.001,-0.025,-0.006
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_French,0.762,0.116,6.547,<0.001,0.534,0.990
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_German,-0.345,0.117,-2.935,0.003,-0.575,-0.114
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Italian,-0.251,0.090,-2.792,0.005,-0.427,-0.075
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Spanish,0.240,0.109,2.215,0.027,0.028,0.453
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Simplified_Chinese,-0.164,0.070,-2.322,0.020,-0.302,-0.025
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Korean,0.450,0.096,4.698,<0.001,0.262,0.638
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Russian,-0.117,0.080,-1.460,0.144,-0.275,0.040
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Japanese,-1.463,0.080,-18.370,<0.001,-1.619,-1.306
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,lang_Portuguese,0.068,0.089,0.767,0.443,-0.106,0.242
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,(Intercept),74.455,0.112,666.467,<0.001,74.236,74.674
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,tag_female_protagonist,-0.062,0.069,-0.904,0.366,-0.196,0.072
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,is_free,0.018,0.069,0.257,0.797,-0.117,0.152
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,is_early_access,0.347,0.086,4.061,<0.001,0.180,0.515
